,Source,Sink,Time,Value
438,PGE_valley,SDGE,31,0.0
439,PGE_valley,SDGE,32,0.0
440,PGE_valley,SDGE,33,0.0
441,PGE_valley,SDGE,34,0.0
442,PGE_valley,SDGE,35,0.0
443,PGE_valley,SDGE,36,0.0
444,PGE_valley,SDGE,37,0.0
445,PGE_valley,SDGE,38,0.0
446,PGE_valley,SDGE,39,0.0
447,PGE_valley,SDGE,40,0.0
448,PGE_valley,SDGE,41,0.0
449,PGE_valley,SDGE,42,0.0
450,PGE_valley,SDGE,43,0.0
451,PGE_valley,SDGE,44,0.0
452,PGE_valley,SDGE,45,0.0
453,PGE_valley,SDGE,46,0.0
454,PGE_valley,SDGE,47,0.0
455,PGE_valley,SDGE,48,0.0
456,PGE_valley,SCE,25,413.5259950738715
457,PGE_valley,SCE,26,860.4574944578139
458,PGE_valley,SCE,27,0.0
459,PGE_valley,SCE,28,0.0
460,PGE_valley,SCE,29,261.4139596288742
461,PGE_valley,SCE,30,1028.8547004250743
462,PGE_valley,SCE,31,965.979217175706
463,PGE_valley,SCE,32,909.7351081570623
464,PGE_valley,SCE,33,137.9675616126798
465,PGE_valley,SCE,34,0.0
466,PGE_valley,SCE,35,0.0
467,PGE_valley,SCE,36,0.0
468,PGE_valley,SCE,37,203.68601536092592
469,PGE_valley,SCE,38,0.0
470,PGE_valley,SCE,39,210.61728242910635
471,PGE_valley,SCE,40,542.1076397469028
472,PGE_valley,SCE,41,990.909397901668
473,PGE_valley,SCE,42,740.6244501652063
474,PGE_valley,SCE,43,1538.597899747775
475,PGE_valley,SCE,44,1463.6764171845734
476,PGE_valley,SCE,45,1669.7954794757825
477,PGE_valley,SCE,46,2078.392129938851
478,PGE_valley,SCE,47,2251.1283175512717
479,PGE_valley,SCE,48,2246.524716843237
480,PGE_bay,PGE_valley,25,0.0
481,PGE_bay,PGE_valley,26,0.0
482,PGE_bay,PGE_valley,27,0.0
483,PGE_bay,PGE_valley,28,0.0
484,PGE_bay,PGE_valley,29,0.0
485,PGE_bay,PGE_valley,30,0.0
486,PGE_bay,PGE_valley,31,0.0
487,PGE_bay,PGE_valley,32,0.0
488,PGE_bay,PGE_valley,33,0.0
489,PGE_bay,PGE_valley,34,0.0
490,PGE_bay,PGE_valley,35,0.0
491,PGE_bay,PGE_valley,36,0.0
492,PGE_bay,PGE_valley,37,0.0
493,PGE_bay,PGE_valley,38,0.0
494,PGE_bay,PGE_valley,39,0.0
495,PGE_bay,PGE_valley,40,0.0
496,PGE_bay,PGE_valley,41,0.0
497,PGE_bay,PGE_valley,42,0.0
498,PGE_bay,PGE_valley,43,0.0
499,PGE_bay,PGE_valley,44,0.0
500,PGE_bay,PGE_valley,45,0.0
501,PGE_bay,PGE_valley,46,0.0
502,PGE_bay,PGE_valley,47,0.0
503,PGE_bay,PGE_valley,48,0.0
504,PGE_bay,PGE_bay,25,0.0
505,PGE_bay,PGE_bay,26,0.0
506,PGE_bay,PGE_bay,27,0.0
507,PGE_bay,PGE_bay,28,0.0
508,PGE_bay,PGE_bay,29,0.0
509,PGE_bay,PGE_bay,30,0.0
510,PGE_bay,PGE_bay,31,0.0
511,PGE_bay,PGE_bay,32,0.0
512,PGE_bay,PGE_bay,33,0.0
513,PGE_bay,PGE_bay,34,0.0
514,PGE_bay,PGE_bay,35,0.0
515,PGE_bay,PGE_bay,36,0.0
516,PGE_bay,PGE_bay,37,0.0
517,PGE_bay,PGE_bay,38,0.0
518,PGE_bay,PGE_bay,39,0.0
519,PGE_bay,PGE_bay,40,0.0
520,PGE_bay,PGE_bay,41,0.0
521,PGE_bay,PGE_bay,42,0.0
522,PGE_bay,PGE_bay,43,0.0
523,PGE_bay,PGE_bay,44,0.0
524,PGE_bay,PGE_bay,45,0.0
525,PGE_bay,PGE_bay,46,0.0
526,PGE_bay,PGE_bay,47,0.0
527,PGE_bay,PGE_bay,48,0.0
528,PGE_bay,SDGE,25,0.0
529,PGE_bay,SDGE,26,0.0
530,PGE_bay,SDGE,27,0.0
531,PGE_bay,SDGE,28,0.0
532,PGE_bay,SDGE,29,0.0
533,PGE_bay,SDGE,30,0.0
534,PGE_bay,SDGE,31,0.0
535,PGE_bay,SDGE,32,0.0
536,PGE_bay,SDGE,33,0.0
537,PGE_bay,SDGE,34,0.0
538,PGE_bay,SDGE,35,0.0
539,PGE_bay,SDGE,36,0.0
540,PGE_bay,SDGE,37,0.0
541,PGE_bay,SDGE,38,0.0
542,PGE_bay,SDGE,39,0.0
543,PGE_bay,SDGE,40,0.0
544,PGE_bay,SDGE,41,0.0
545,PGE_bay,SDGE,42,0.0
546,PGE_bay,SDGE,43,0.0
547,PGE_bay,SDGE,44,0.0
548,PGE_bay,SDGE,45,0.0
549,PGE_bay,SDGE,46,0.0
550,PGE_bay,SDGE,47,0.0
551,PGE_bay,SDGE,48,0.0
552,PGE_bay,SCE,25,0.0
553,PGE_bay,SCE,26,0.0
554,PGE_bay,SCE,27,0.0
555,PGE_bay,SCE,28,0.0
556,PGE_bay,SCE,29,0.0
557,PGE_bay,SCE,30,0.0
558,PGE_bay,SCE,31,0.0
559,PGE_bay,SCE,32,0.0
560,PGE_bay,SCE,33,0.0
561,PGE_bay,SCE,34,0.0
562,PGE_bay,SCE,35,0.0
563,PGE_bay,SCE,36,0.0
564,PGE_bay,SCE,37,0.0
565,PGE_bay,SCE,38,0.0
566,PGE_bay,SCE,39,0.0
567,PGE_bay,SCE,40,0.0
568,PGE_bay,SCE,41,0.0
569,PGE_bay,SCE,42,0.0
570,PGE_bay,SCE,43,0.0
571,PGE_bay,SCE,44,0.0
572,PGE_bay,SCE,45,0.0
573,PGE_bay,SCE,46,0.0
574,PGE_bay,SCE,47,0.0
575,PGE_bay,SCE,48,0.0
576,SDGE,PGE_valley,25,0.0
577,SDGE,PGE_valley,26,0.0
578,SDGE,PGE_valley,27,0.0
579,SDGE,PGE_valley,28,0.0
580,SDGE,PGE_valley,29,0.0
581,SDGE,PGE_valley,30,0.0
582,SDGE,PGE_valley,31,0.0
583,SDGE,PGE_valley,32,0.0
584,SDGE,PGE_valley,33,0.0
585,SDGE,PGE_valley,34,0.0
586,SDGE,PGE_valley,35,0.0
587,SDGE,PGE_valley,36,0.0
588,SDGE,PGE_valley,37,0.0
589,SDGE,PGE_valley,38,0.0
590,SDGE,PGE_valley,39,0.0
591,SDGE,PGE_valley,40,0.0
592,SDGE,PGE_valley,41,0.0
593,SDGE,PGE_valley,42,0.0
594,SDGE,PGE_valley,43,0.0
595,SDGE,PGE_valley,44,0.0
596,SDGE,PGE_valley,45,0.0
597,SDGE,PGE_valley,46,0.0
598,SDGE,PGE_valley,47,0.0
599,SDGE,PGE_valley,48,0.0
600,SDGE,PGE_bay,25,0.0
601,SDGE,PGE_bay,26,0.0
602,SDGE,PGE_bay,27,0.0
603,SDGE,PGE_bay,28,0.0
604,SDGE,PGE_bay,29,0.0
605,SDGE,PGE_bay,30,0.0
606,SDGE,PGE_bay,31,0.0
607,SDGE,PGE_bay,32,0.0
608,SDGE,PGE_bay,33,0.0
609,SDGE,PGE_bay,34,0.0
610,SDGE,PGE_bay,35,0.0
611,SDGE,PGE_bay,36,0.0
612,SDGE,PGE_bay,37,0.0
613,SDGE,PGE_bay,38,0.0
614,SDGE,PGE_bay,39,0.0
615,SDGE,PGE_bay,40,0.0
616,SDGE,PGE_bay,41,0.0
617,SDGE,PGE_bay,42,0.0
618,SDGE,PGE_bay,43,0.0
619,SDGE,PGE_bay,44,0.0
620,SDGE,PGE_bay,45,0.0
621,SDGE,PGE_bay,46,0.0
622,SDGE,PGE_bay,47,0.0
623,SDGE,PGE_bay,48,0.0
624,SDGE,SDGE,25,0.0
625,SDGE,SDGE,26,0.0
626,SDGE,SDGE,27,0.0
627,SDGE,SDGE,28,0.0
628,SDGE,SDGE,29,0.0
629,SDGE,SDGE,30,0.0
630,SDGE,SDGE,31,0.0
631,SDGE,SDGE,32,0.0
632,SDGE,SDGE,33,0.0
633,SDGE,SDGE,34,0.0
634,SDGE,SDGE,35,0.0
635,SDGE,SDGE,36,0.0
636,SDGE,SDGE,37,0.0
637,SDGE,SDGE,38,0.0
638,SDGE,SDGE,39,0.0
639,SDGE,SDGE,40,0.0
640,SDGE,SDGE,41,0.0
641,SDGE,SDGE,42,0.0
642,SDGE,SDGE,43,0.0
643,SDGE,SDGE,44,0.0
644,SDGE,SDGE,45,0.0
645,SDGE,SDGE,46,0.0
646,SDGE,SDGE,47,0.0
647,SDGE,SDGE,48,0.0
648,SDGE,SCE,25,0.0
649,SDGE,SCE,26,0.0
650,SDGE,SCE,27,0.0
651,SDGE,SCE,28,0.0
652,SDGE,SCE,29,0.0
653,SDGE,SCE,30,0.0
654,SDGE,SCE,31,0.0
655,SDGE,SCE,32,0.0
656,SDGE,SCE,33,0.0
657,SDGE,SCE,34,0.0
658,SDGE,SCE,35,0.0
659,SDGE,SCE,36,0.0
660,SDGE,SCE,37,0.0
661,SDGE,SCE,38,0.0
662,SDGE,SCE,39,0.0
663,SDGE,SCE,40,0.0
664,SDGE,SCE,41,0.0
665,SDGE,SCE,42,0.0
666,SDGE,SCE,43,0.0
667,SDGE,SCE,44,0.0
668,SDGE,SCE,45,0.0
669,SDGE,SCE,46,0.0
670,SDGE,SCE,47,0.0
671,SDGE,SCE,48,0.0
672,SCE,PGE_valley,25,0.0
673,SCE,PGE_valley,26,0.0
674,SCE,PGE_valley,27,0.0
675,SCE,PGE_valley,28,0.0
676,SCE,PGE_valley,29,0.0
677,SCE,PGE_valley,30,0.0
678,SCE,PGE_valley,31,0.0
679,SCE,PGE_valley,32,0.0
680,SCE,PGE_valley,33,0.0
681,SCE,PGE_valley,34,0.0
682,SCE,PGE_valley,35,0.0
683,SCE,PGE_valley,36,0.0
684,SCE,PGE_valley,37,0.0
